职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求
测试开发工程师-支付金融方向,测试,22500.0,杭州有赞科技有限公司,杭州,1,不限,
测试开发工程师,测试,22500.0,贝壳找房（北京）科技有限公司,北京,3,本科,
资深测试工程师,测试,25000.0,北京心悦互娱科技有限公司,北京,5,本科,
软件测试经理（偏管理）,测试,20000.0,深圳市超盟金服技术信息服务有限公司,深圳,5,本科,
测试经理,测试,20000.0,瑞幸咖啡（中国）有限公司,厦门,5,本科,
测试开发实习生（2021年毕业优先）,测试,5500.0,北京融七牛信息技术有限公司,北京,0,本科,
资深测试工程师,测试,25000.0,浙江银泰百货有限公司,杭州,3,本科,
高级测试工程师,测试,17500.0,上海大岂网络科技有限公司,上海,5,本科,
高级测试工程师,测试,20000.0,瑞庭网络技术（上海）有限公司,上海,3,本科,
自动化测试,测试,20000.0,北京默契破冰科技有限公司,北京,3,本科,
产品测试,测试,8000.0,开易（北京）科技有限公司,深圳,1,大专,
高级测试工程师,测试,15000.0,秒针信息技术有限公司,北京,3,本科,
测试开发工程师,测试,20000.0,浙江星飞信息技术有限公司,杭州,3,本科,
中级软件测试工程师,测试,9500.0,深圳市乔安科技有限公司,深圳,3,本科,
性能测试专家02-08-10,测试,27000.0,杭州大搜车汽车服务有限公司,上海,3,不限,
测试开发工程师-业务中台方向,测试,22500.0,杭州有赞科技有限公司,杭州,1,本科,
资深测试开发工程师,测试,32500.0,贝壳找房（北京）科技有限公司,上海,3,本科,
高级测试工程师,测试,12500.0,广州瓷肌化妆品有限公司,广州,3,本科,
ADAS测试软件研发工程师,测试,15000.0,常宁（常州）数据产业研究院有限公司,常州,3,本科,
App测试Leader,测试,32500.0,深圳市客路网络科技有限公司,深圳,5,本科,
产品软件测试,测试,11500.0,开易（北京）科技有限公司,深圳,3,大专,
资深测试工程师（交易中心-酒店）,测试,25000.0,北京蚂蜂窝网络科技有限公司,北京,5,不限,
测试工程师,测试,10500.0,北京联龙博通电子商务技术有限公司,成都,1,本科,
测试开发专家,测试,30000.0,高德软件有限公司,北京,3,本科,
资深测试开发工程师,测试,32500.0,北京拉勾网络技术有限公司,北京,3,本科,
测试工程师,测试,8000.0,俺来也（上海）网络科技有限公司,上海,1,本科,
高级软件测试（短期合同）,测试,17500.0,Moody's Analytics,深圳,3,本科,
测试工程师,测试,13000.0,江苏金农股份有限公司,南京,5,本科,
测试工程师,测试,12500.0,上海思眭信息技术有限公司,上海,3,本科,
测试工程师,测试,10000.0,南京贝登生物科技有限公司,南京,3,本科,
业务测试开发,测试,32500.0,贝壳找房（北京）科技有限公司,北京,3,本科,
测试开发工程师-零售业务方向,测试,22500.0,杭州有赞科技有限公司,杭州,3,本科,
测试工程师,测试,6000.0,成都零点信息技术有限公司,成都,1,大专,
测试工程师,测试,15500.0,叠健信息科技（上海）有限公司,上海,5,本科,
测试工程师,测试,5000.0,天津传清科技集团有限公司,天津,1,大专,
中级测试工程师,测试,15000.0,国网电子商务有限公司,北京,3,本科,
存储产品测试工程师,测试,22500.0,星辰天合（北京）数据科技有限公司,深圳,3,本科,
移动端测试开发工程师,测试,27500.0,北京蚂蜂窝网络科技有限公司,北京,5,本科,
自动化测试工程师,测试,20000.0,北京默契破冰科技有限公司,北京,3,本科,
游戏测试,测试,12500.0,广州简乐网络科技有限公司,广州,3,不限,
资深测试开发工程师,测试,30000.0,无线生活（北京）信息技术有限公司,杭州,3,本科,
高级测试工程师,测试,22500.0,北京摩拜科技有限公司,北京,3,本科,
测试开发工程师,测试,22500.0,京东数字科技控股有限公司,北京,3,本科,
硬件测试工程师,测试,19000.0,杭州魔点科技有限公司,杭州,5,本科,
软件测试,测试,10000.0,明思（上海）软件技术有限公司,深圳,1,本科,
业务测试工程师,测试,30000.0,贝壳找房（北京）科技有限公司,北京,3,本科,
测试工程师自动化,测试,15000.0,北京一人一亩田网络科技有限公司,北京,1,本科,
自动化测试(偏金融方向）,测试,15000.0,国网电子商务有限公司,北京,3,本科,
游戏测试工程师,测试,15000.0,深圳帝华网络有限公司,深圳,3,大专,
自动化测试工程师,测试,22500.0,北京摩拜科技有限公司,北京,3,本科,
测试开发工程师,测试,25000.0,北京字节跳动科技有限公司,北京,1,本科,
自动化测试工程师,测试,14500.0,上海华钦信息科技股份有限公司,上海,1,本科,
手游测试主管,测试,20000.0,北京昆仑万维科技股份有限公司,北京,5,本科,
安全测试,测试,15000.0,武汉佰钧成技术有限责任公司,深圳,3,本科,
测试工程师,测试,6000.0,杭州麦小宝网络科技有限公司,杭州,1,本科,
IT QA Expert软件测试专家,测试,21000.0,捷信消费金融有限公司,天津,5,本科,
软件测试工程师,测试,8000.0,苏州市软件评测中心有限公司,苏州,1,大专,
软件测试工程师,测试,14000.0,珠海市卓轩科技有限公司,珠海,3,本科,
测试负责人,测试,28000.0,众安在线财产保险股份有限公司,上海,0,不限,
资深业务测试,测试,40000.0,贝壳找房（北京）科技有限公司,北京,5,本科,
自动化测试工程师,测试,15000.0,北京默契破冰科技有限公司,北京,1,本科,
软件测试工程师,测试,9500.0,杭州鲜来福电子商务有限公司,杭州,1,大专,
充电桩测试工程师,测试,8000.0,充之鸟（深圳）新能源科技有限公司,深圳,1,大专,
测试开发工程师,测试,37500.0,北京文通图像识别技术研究中心有限公司,北京,3,本科,
移动端高级测试开发工程师,测试,23000.0,探探科技（北京）有限公司,北京,1,本科,
手机游戏测试,测试,9000.0,星汉（广州）科技有限公司,广州,1,本科,
测试工程师,测试,10000.0,广州米多网络科技有限公司,广州,3,大专,
资深游戏测试,测试,20000.0,广州智品网络科技有限公司,广州,1,本科,
软件测试工程师,测试,6000.0,新誉集团有限公司,常州,1,本科,
测试实习生,测试,5000.0,北京格如灵科技有限公司,北京,0,本科,
游戏测试工程师,测试,8500.0,浙江星飞信息技术有限公司,杭州,0,本科,
测试经理,测试,20000.0,北京江融信科技有限公司,广州,5,本科,
资深测试架构师,测试,37500.0,韩领网络科技（上海）有限公司,北京,5,本科,
高级测试工程师,测试,16000.0,上海新炬网络技术有限公司,深圳,5,本科,
资深测试开发工程师,测试,40000.0,贝壳找房（北京）科技有限公司,北京,0,不限,
高级测试工程师,测试,27500.0,上海好屋网信息技术有限公司,上海,5,本科,
测试工程师,测试,6500.0,上海美凯航空服务有限公司,杭州,0,不限,
测试工程师,测试,10500.0,微米创想科技（北京）有限公司,北京,1,本科,
测试工程师,测试,11500.0,深圳格隆汇信息科技有限公司,深圳,1,本科,
测试实习生,测试,2500.0,广东道一信息技术股份有限公司,广州,0,本科,
测试分析师,测试,22500.0,同心医联科技(北京)有限公司,北京,3,本科,
测试工程师,测试,9000.0,广州探音科技有限公司,广州,1,大专,
语音测试工程师,测试,15000.0,惠州市德赛西威汽车电子股份有限公司,成都,0,本科,
硬件测试,测试,10500.0,北京爱捷科科技有限公司,广州,1,大专,
硬件测试,测试,12000.0,上海吉库信息科技有限公司,上海,3,本科,
自动化测试工程师（接口）,测试,20000.0,微梦创科网络科技（中国）有限公司,北京,1,本科,
初级测试,测试,7000.0,成都惊蛰商业管理有限公司,成都,1,大专,
中级测试工程师,测试,13000.0,北京江融信科技有限公司,上海,3,本科,
测试工程师,测试,8000.0,北京九识佳科技有限公司,北京,0,本科,
高级测试开发工程师-专项质量方向,测试,30000.0,贝壳找房（北京）科技有限公司,北京,3,本科,
测试工程师（功能测试）,测试,16000.0,上海好屋网信息技术有限公司,上海,3,本科,
测试工程师,测试,12000.0,武汉微派网络科技有限公司,武汉,1,不限,
测试,测试,22500.0,拉勾猎头,杭州,3,本科,
测试工程师,测试,20000.0,北京闪银奇异科技有限公司,北京,3,本科,
测试工程师,测试,11000.0,北京联龙博通电子商务技术有限公司,北京,3,本科,
测试工程师,测试,12500.0,生仝智能科技（北京）有限公司,北京,0,本科,
测试工程师,测试,9000.0,广东世纪晓教育科技有限公司,广州,1,本科,
测试工程师,测试,9000.0,北京掌上先机网络科技有限公司,北京,1,本科,
测试工程师,测试,21500.0,云账户（天津）共享经济信息咨询有限公司,北京,3,本科,
测试工程师,测试,11500.0,深圳市紫川软件有限公司,深圳,1,大专,
测试工程师 (MJ000705),测试,15000.0,广州华多网络科技有限公司,广州,1,本科,
测试工程师,测试,12500.0,北京四方启点科技有限公司,北京,3,本科,
测试工程师,测试,15000.0,杭州指令集智能科技有限公司,杭州,0,本科,
测试工程师,测试,11500.0,上海海万信息科技股份有限公司,上海,3,大专,
资深测试开发工程师,测试,27500.0,贝壳找房（北京）科技有限公司,北京,5,本科,
测试工程师,测试,15000.0,北京闪银奇异科技有限公司,北京,3,本科,
测试工程师,测试,14500.0,上海海万信息科技股份有限公司,上海,1,本科,
测试工程师,测试,15000.0,上海讯联数据服务有限公司,上海,3,本科,
测试工程师,测试,13000.0,广州禾多云力互联科技有限公司,广州,3,本科,
测试工程师,测试,11000.0,纳里健康科技有限公司,杭州,1,本科,
测试工程师（银行）,测试,10000.0,深圳市汇合发展有限公司,深圳,1,本科,
测试工程师,测试,15000.0,杭州达势科技有限公司,上海,3,本科,
测试工程师【北京】,测试,9500.0,上海安硕信息技术股份有限公司,北京,1,本科,
测试工程师,测试,11500.0,广州悦跑信息科技有限公司,广州,0,大专,
测试工程师,测试,9000.0,北京静帆科技有限公司,北京,3,本科,
测试工程师,测试,20000.0,北京世纪中彩网络技术有限公司,北京,1,本科,
测试工程师,测试,15000.0,卫盈联信息技术（深圳）有限公司,深圳,3,本科,
测试工程师,测试,11500.0,广东星舆科技有限公司,广州,5,本科,
测试工程师（中高级 ）,测试,13000.0,北京嗨学网教育科技股份有限公司,成都,5,本科,
测试开发架构师,测试,40000.0,贝壳找房（北京）科技有限公司,北京,5,本科,
测试工程师,测试,13500.0,上海海万信息科技股份有限公司,上海,3,本科,
测试工程师,测试,11000.0,京信通信系统（中国）有限公司,广州,3,本科,
测试工程师,测试,10500.0,广州斗游信息科技有限公司,广州,0,本科,
测试工程师,测试,12500.0,上海银科创展投资集团有限公司,上海,3,本科,
测试工程师,测试,7500.0,四川超影科技有限公司,成都,3,本科,
测试工程师（UAT）,测试,12500.0,广州银行股份有限公司信用卡中心,广州,3,本科,
测试工程师（深圳）,测试,12000.0,北京联龙博通电子商务技术有限公司,深圳,1,本科,
测试开发工程师,测试,20000.0,上海汇付数据服务有限公司,上海,1,本科,
测试工程师,测试,24000.0,信产集团有限公司,北京,3,本科,
高级测试 (MJ000097),测试,16000.0,广州希音供应链管理有限公司,广州,3,本科,
测试工程师,测试,7500.0,深圳市大头兄弟文化传播有限公司,深圳,1,大专,
测试工程师,测试,18000.0,杭州车厘子智能科技有限公司,南京,3,本科,
测试工程师（旅游，酒店，机票平台）,测试,20000.0,大地零一（深圳）科技有限公司,深圳,3,大专,
测试工程师,测试,15000.0,上海米哈游网络科技股份有限公司,上海,3,本科,
测试工程师,测试,15000.0,上海海万信息科技股份有限公司,深圳,3,本科,
测试工程师,测试,6000.0,成都网阔信息技术股份有限公司,成都,1,本科,
测试工程师,测试,11500.0,嘉兴壹传网络科技有限公司,深圳,3,大专,
测试工程师,测试,15000.0,广州合摩计算机科技有限公司,广州,3,本科,
测试工程师,测试,22500.0,南京蓝鲸人网络科技有限公司,北京,3,本科,
测试工程师,测试,16000.0,深圳市时代华盛网络科技有限公司,深圳,3,本科,
测试工程师,测试,20000.0,深圳鹏开信息技术有限公司,深圳,5,本科,
测试工程师,测试,12500.0,申朴信息技术(上海)股份有限公司,上海,3,本科,
测试,测试,15000.0,上海华钦信息科技股份有限公司,上海,3,本科,
测试工程师,测试,11500.0,上海亘然网络科技有限公司,上海,1,本科,
测试工程师（直播业务）,测试,9000.0,杭州顺网科技股份有限公司,杭州,1,不限,
软件测试工程师,测试,8500.0,深圳市前海泽金互联网金融服务有限公司,深圳,1,本科,
测试工程师,测试,9000.0,成都俊云科技有限公司,成都,3,本科,
测试工程师,测试,11500.0,深圳市同为数码科技股份有限公司,深圳,1,本科,
测试工程师,测试,20000.0,杭州微拍堂文化创意有限公司,杭州,3,本科,
测试,测试,13000.0,上海海万信息科技股份有限公司,深圳,3,本科,
测试工程师（功能）,测试,10500.0,北京千橡网景科技发展有限公司,北京,3,大专,
测试工程师,测试,20000.0,畅捷通信息技术股份有限公司,北京,5,本科,
测试工程师,测试,17500.0,北京孔网时代科技有限公司,北京,3,本科,
测试 (MJ000647),测试,12000.0,广州希音供应链管理有限公司,广州,3,大专,
测试工程师,测试,7000.0,上海幻刃网络科技有限公司,上海,1,本科,
测试工程师,测试,5000.0,深圳乐言科技有限公司,深圳,0,本科,
测试工程师,测试,15000.0,北京高因科技有限公司,北京,3,本科,
测试工程师,测试,12500.0,用友网络科技股份有限公司,北京,3,本科,
测试工程师,测试,8000.0,广东分利宝金服科技有限公司,广州,1,大专,
测试工程师,测试,7500.0,和宇健康科技股份有限公司,广州,3,本科,
测试工程师,测试,12000.0,智言科技(深圳)有限公司,深圳,3,本科,
测试工程师,测试,17500.0,北京云舒写教育科技有限公司,北京,3,本科,
软件测试,测试,15500.0,上海鸣勃网络科技有限公司,上海,3,本科,
测试工程师,测试,11500.0,成都拓尔思信息技术有限公司,成都,3,本科,
测试,测试,14000.0,上海海万信息科技股份有限公司,上海,3,本科,
测试工程师,测试,11500.0,深圳市迅龙创威网络技术有限公司,深圳,1,大专,
测试工程师,测试,10000.0,北京启明合心科技有限公司,北京,1,本科,
测试工程师,测试,14000.0,北京太合音乐文化发展有限公司,北京,3,本科,
QA,测试,8000.0,中通服创发科技有限责任公司,长沙,3,本科,
测试工程师,测试,30000.0,小桨乘风网络科技（北京）有限公司,北京,3,本科,
测试工程师,测试,20000.0,杭州喜兔科技有限公司,杭州,3,本科,
测试工程师,测试,15000.0,广州市百果园网络科技有限公司,广州,1,不限,
测试工程师,测试,20000.0,玖富数科科技集团有限责任公司,北京,5,本科,
测试工程师,测试,10000.0,成都心田花开教育咨询有限公司,成都,3,不限,
测试/大数据测试,测试,18000.0,上海和邑信息科技有限公司,上海,3,本科,
测试工程师,测试,10000.0,深圳市友点科技有限公司,深圳,3,大专,
测试工程师,测试,20000.0,珠海横琴极盛科技有限公司,深圳,3,本科,
测试工程师（人工智能）,测试,13500.0,北京中科智加科技有限公司,北京,1,本科,
测试工程师,测试,14500.0,北京世联互动网络有限公司成都分公司,成都,3,本科,
测试工程师,测试,11500.0,上海海万信息科技股份有限公司,上海,3,本科,
测试工程师,测试,12500.0,深圳左邻永佳科技有限公司,深圳,3,本科,
测试,测试,15500.0,上海华钦信息科技股份有限公司,上海,3,本科,
测试工程师,测试,10000.0,深圳市汇合发展有限公司,深圳,1,本科,
测试工程师（要求电商经验）,测试,22500.0,广州智度科技有限公司,深圳,3,本科,
测试工程师,测试,9000.0,深圳市乐易网络股份有限公司,深圳,1,本科,
测试工程师,测试,10000.0,心灵失重（北京）科技有限公司,深圳,1,本科,
测试工程师,测试,15000.0,深圳市杉岩数据技术有限公司,深圳,3,本科,
测试工程师,测试,12500.0,深圳点猫科技有限公司,深圳,1,本科,
测试工程师,测试,15000.0,数篷科技（深圳）有限公司,深圳,1,本科,
测试工程师,测试,13000.0,上海分布信息科技有限公司,上海,1,本科,
测试工程师,测试,13000.0,上海泛微网络科技股份有限公司,上海,1,本科,
测试工程师,测试,12500.0,广东映客互娱网络信息有限公司,广州,3,本科,
测试工程师,测试,22500.0,北京向上一心科技有限公司,北京,0,本科,
测试工程师,测试,12500.0,深圳三代人科技有限公司,深圳,3,本科,
软件测试(APP),测试,12500.0,上海海万信息科技股份有限公司,深圳,3,本科,
测试工程师,测试,20000.0,神策网络科技（北京）有限公司,北京,0,本科,
测试工程师,测试,15000.0,蓝月亮（中国）有限公司,广州,3,本科,
测试工程师,测试,15000.0,深圳市爱可诗元素网络科技有限公司,深圳,3,本科,
软件测试（物联网）,测试,15000.0,深圳市零壹移动互联系统有限公司,深圳,3,本科,
25210L-测试工程师,测试,19500.0,上海陆家嘴国际金融资产交易市场股份有限公司,深圳,1,本科,
测试工程师,测试,15000.0,北京东方嘉禾文化发展股份有限公司,北京,1,本科,
测试,测试,12000.0,上海舟恩信息技术有限公司,上海,3,大专,
测试工程师,测试,12500.0,北京世联互动网络有限公司成都分公司,成都,3,本科,
测试工程师（多平台）,测试,8000.0,深圳聚领威锋科技股份有限公司,深圳,1,本科,
测试工程师,测试,15000.0,大圣科技股份有限公司,广州,3,本科,
测试工程师,测试,7500.0,广州赞赏信息科技有限公司,广州,1,本科,
测试工程师,测试,15500.0,中诚信征信有限公司,北京,1,本科,
车端测试工程师,测试,37500.0,浙江吉利汽车有限公司,上海,0,本科,
测试,测试,7500.0,深圳墨齐致知网络科技有限公司,深圳,1,本科,
测试,测试,12500.0,上海海万信息科技股份有限公司,上海,3,大专,
测试工程师,测试,12500.0,杭州老爸评测科技有限公司,杭州,0,本科,
测试工程师,测试,15000.0,北京大家玩科技有限公司,北京,0,本科,
测试工程师,测试,10500.0,创世云（厦门）信息科技有限公司,厦门,3,本科,
测试工程师,测试,26500.0,南京蓝鲸人网络科技有限公司,北京,3,本科,
软件测试（购物公园）,测试,10000.0,深圳市博悦科创科技有限公司,深圳,1,本科,
测试工程师,测试,15000.0,上海易点时空网络有限公司,上海,3,本科,
测试工程师,测试,15000.0,郑州点读电子科技有限公司,杭州,3,本科,
测试工程师,测试,19000.0,深圳市木槿科技有限公司,深圳,3,本科,
测试工程师,测试,11500.0,杭州大名软件有限公司,杭州,0,本科,
测试工程师,测试,10500.0,上海游盾网络科技有限公司,上海,1,本科,
测试工程师,测试,12500.0,万汇互联（深圳）科技有限公司,深圳,3,本科,
测试工程师,测试,8000.0,广州图匠数据科技有限公司,广州,1,本科,
测试工程师,测试,30000.0,上海米袋投资集团有限公司,上海,5,大专,
软件测试,测试,11500.0,浙江顺联网络科技有限公司,杭州,1,大专,
测试工程师,测试,12000.0,上海海万信息科技股份有限公司,上海,3,本科,
测试工程师,测试,10000.0,唢纳网络科技（上海）有限公司,上海,3,本科,
测试工程师,测试,15500.0,深圳市锐尔觅移动通信有限公司,深圳,3,本科,
测试工程师,测试,13500.0,北京蜜蜂汇金科技有限公司,北京,1,本科,
测试工程师,测试,15000.0,用友网络科技股份有限公司,北京,3,本科,
测试工程师,测试,20500.0,径卫视觉科技（上海）有限公司,上海,5,本科,
测试工程师,测试,22500.0,北京中科寒武纪科技有限公司,北京,3,本科,
测试工程师,测试,11500.0,广州明动软件股份有限公司,广州,3,本科,
测试工程师,测试,14000.0,深圳市先进数通融安信息技术有限公司,深圳,3,本科,
测试工程师（车载ADAS）,测试,15000.0,虹软科技股份有限公司,杭州,3,本科,
游戏测试,测试,14000.0,北京乐信圣文科技有限责任公司,北京,3,本科,
测试工程师（接口自动化）,测试,30000.0,北京云动九天科技有限公司,北京,3,本科,
测试工程师,测试,6500.0,湖南五八农服信息技术有限公司,长沙,3,本科,
测试工程师,测试,11500.0,北大医疗信息技术有限公司,北京,1,本科,
测试工程师,测试,6000.0,北京思拓合众科技有限公司,武汉,0,不限,
测试工程师,测试,15000.0,上海海万信息科技股份有限公司,上海,3,本科,
测试工程师,测试,18500.0,上海曌扬汽车服务有限公司,上海,5,本科,
测试工程师,测试,11500.0,成都心田花开教育咨询有限公司,成都,1,本科,
测试工程师,测试,11500.0,深圳合众财富金融投资管理有限公司广州分公司,广州,3,本科,
测试工程师,测试,20000.0,北京云动九天科技有限公司,北京,0,不限,
测试工程师,测试,15000.0,北京悟空保科技有限公司,北京,3,本科,
测试工程师（棋牌游戏）,测试,11500.0,史蒂夫软件（深圳）有限公司,深圳,3,大专,
测试工程师,测试,14000.0,浙江讯盟科技有限公司,杭州,3,大专,
测试工程师,测试,15000.0,新分享科技服务（深圳）有限公司,深圳,3,本科,
测试工程师,测试,12000.0,动视云（北京）科技有限公司,北京,3,本科,
测试工程师,测试,11500.0,广州柒拾亿人互联科技有限公司,广州,3,不限,
测试工程师,测试,10500.0,北京银讯财富信息技术有限公司,北京,1,本科,
测试工程师,测试,11500.0,广州有信科技有限公司,广州,1,本科,
测试工程师,测试,6500.0,北京中电广通技术服务有限公司,北京,1,本科,
测试工程师（成都）,测试,12500.0,广州百田信息科技有限公司,成都,3,本科,
测试工程师,测试,16500.0,上海海万信息科技股份有限公司,上海,3,本科,
测试工程师,测试,16000.0,浙江讯盟科技有限公司,杭州,3,本科,
测试工程师,测试,11500.0,深圳市宝润兴业互联网信息服务有限公司,广州,3,本科,
测试工程师,测试,15000.0,上海任意门科技有限公司,上海,1,本科,
测试工程师（自动化）,测试,7500.0,亿达信息技术（深圳）有限公司,成都,1,本科,
测试工程师,测试,20500.0,北京凤凰天博网络技术有限公司,北京,5,本科,
测试工程师(J10006),测试,6500.0,思享时代（北京）科技有限公司,北京,1,本科,
测试工程师,测试,20500.0,广州致景信息科技有限公司,广州,5,本科,
测试工程师,测试,18000.0,北京闪送科技有限公司,北京,3,本科,
测试工程师（功能测试）,测试,10000.0,深圳市赢时胜信息技术股份有限公司,北京,1,本科,
测试工程师（有开发经验优先）,测试,13000.0,北京世联互动网络有限公司成都分公司,成都,3,本科,
测试工程师（业务测试方向）,测试,16500.0,蓝月亮（中国）有限公司,广州,3,本科,
测试工程师,测试,30000.0,东莞市腾盛软件科技有限公司,深圳,3,本科,
测试工程师,测试,8000.0,广州华资软件技术有限公司,广州,1,本科,
软件测试,测试,10000.0,深圳市果酱时代科技有限公司,深圳,3,本科,
测试,测试,15000.0,上海海万信息科技股份有限公司,深圳,3,大专,
软件测试,测试,9000.0,深圳市汇合发展有限公司,深圳,1,本科,
测试工程师,测试,7000.0,北京网思科平科技有限公司,成都,1,本科,
测试工程师,测试,6500.0,北京帮你玩科技有限公司,北京,1,大专,
测试工程师,测试,9500.0,上海泛微网络科技股份有限公司,上海,1,本科,
测试工程师,测试,15000.0,北京佰策科技有限公司,西安,3,本科,
测试工程师,测试,20000.0,北京东方优播网络科技有限公司,北京,5,本科,
软件测试,测试,8000.0,武汉佰钧成技术有限责任公司,深圳,1,本科,
测试工程师,测试,15000.0,上海基分文化传播有限公司,上海,3,本科,
测试工程师,测试,17000.0,广州汇量信息科技有限公司,广州,3,本科,
测试工程师,测试,9000.0,信领达（杭州）软件有限公司,杭州,0,本科,
测试工程师,测试,9500.0,浙江创邻科技有限公司,杭州,1,本科,
测试工程师,测试,11000.0,深圳市墨者安全科技有限公司,深圳,3,本科,
测试工程师,测试,14000.0,杭州米友圈科技有限公司,杭州,3,大专,
测试工程师,测试,12000.0,广州银行股份有限公司信用卡中心,广州,3,本科,
测试工程师,测试,22500.0,深圳数飞科技有限公司,深圳,3,本科,
测试工程师,测试,24000.0,上海汇翼信息科技有限公司,上海,3,本科,
测试工程师,测试,9500.0,广州优盟广告策划有限公司,广州,3,本科,
测试工程师,测试,15000.0,深圳市希云科技有限公司,深圳,1,本科,
测试工程师,测试,14000.0,广州市卓越里程教育科技有限公司,广州,3,本科,
测试工程师,测试,9000.0,深圳中兴飞贷金融科技有限公司,深圳,1,本科,
测试工程师,测试,14000.0,杭州一知智能科技有限公司,杭州,3,本科,
软件测试,测试,11500.0,广州易幻网络科技有限公司,广州,3,本科,
测试工程师（天津）,测试,9000.0,谷川联行有限公司,天津,0,本科,
测试工程师,测试,14000.0,上海岱嘉医学信息系统有限公司,上海,3,本科,
测试工程师,测试,15000.0,北京域起网络科技有限公司,北京,0,本科,
测试开发,测试,27500.0,信产集团有限公司,北京,5,不限,
测试工程师,测试,9000.0,北京佳格天地科技有限公司,南京,1,本科,
测试工程师,测试,15000.0,江苏艾佳家居用品有限公司,南京,3,本科,
测试工程师,测试,15000.0,浙江华坤道威数据科技有限公司,杭州,5,本科,
测试工程师,测试,12000.0,杭州中策车空间汽车服务有限公司,杭州,1,本科,
测试工程师,测试,10500.0,链行天下（广州）区块链研究有限公司,广州,3,大专,
测试工程师（大数据方向）,测试,16000.0,蓝月亮（中国）有限公司,广州,3,本科,
软件测试,测试,8500.0,深圳市天行家科技有限公司,深圳,1,本科,
测试工程师,测试,7000.0,广州市数商云网络科技有限公司,广州,1,大专,
测试工程师（初中级）,测试,7500.0,壹玖壹玖酒类平台科技股份有限公司,成都,1,大专,
测试工程师（游戏平台）,测试,15000.0,上海哔哩哔哩科技有限公司,上海,5,本科,
测试工程师,测试,5500.0,重庆康洲大数据有限公司,重庆,3,大专,
测试,测试,33000.0,威斯科技（苏州）有限公司,杭州,3,本科,
测试工程师,测试,20000.0,北京多拉科技有限公司,北京,3,本科,
测试工程师,测试,30000.0,上海悦易网络信息技术有限公司,北京,3,本科,
测试工程师,测试,18000.0,广州启合科技有限公司,广州,3,本科,
测试工程师,测试,10500.0,杭州紫钺科技有限公司,杭州,3,本科,
测试工程师,测试,11500.0,上海海万信息科技股份有限公司,深圳,3,本科,
测试工程师,测试,14000.0,上海汉得信息技术股份有限公司,上海,3,大专,
测试工程师（压力测试） (MJ000217),测试,20000.0,北京爱论答科技有限公司上海分公司,上海,3,本科,
测试工程师-ABC (MJ000206),测试,19000.0,广州希音供应链管理有限公司,深圳,1,本科,
测试工程师(J10045),测试,21500.0,北京伊电园网络科技有限公司,杭州,3,本科,
测试工程师,测试,6000.0,北京帮你玩科技有限公司,北京,1,大专,
测试工程师,测试,12500.0,深圳市华海同创科技有限公司,深圳,3,本科,
测试工程师,测试,12500.0,北京闲徕互娱网络科技有限公司,北京,1,本科,
测试工程师,测试,15000.0,北京米可世界科技有限公司,北京,1,本科,
测试工程师（自动化方向）,测试,8000.0,深圳市汇合发展有限公司,成都,1,本科,
测试工程师,测试,6500.0,广州爱拍网络科技有限公司,广州,1,本科,
测试工程师(J10160),测试,13000.0,深圳市房多多网络科技有限公司,深圳,1,本科,
测试工程师,测试,12000.0,深圳市博悦科创科技有限公司,深圳,1,本科,
测试工程师,测试,20000.0,北京卫达信息技术有限公司,北京,3,本科,
测试工程师,测试,12000.0,上海海万信息科技股份有限公司,佛山,0,本科,
测试工程师,测试,22500.0,连连银通电子支付有限公司,杭州,5,本科,
测试工程师,测试,8000.0,厦门科拓通讯技术股份有限公司,厦门,1,本科,
开发测试工程师,测试,16500.0,上海即果信息技术有限公司,上海,3,本科,
测试工程师,测试,9000.0,上海弘连网络科技有限公司,上海,0,本科,
PTBU-测试工程师（音乐项目）,测试,12500.0,广州酷狗计算机科技有限公司,广州,3,本科,
测试工程师 (MJ000183),测试,16000.0,北京阿博茨科技有限公司,南京,3,本科,
测试工程师,测试,8000.0,广州海鹚网络科技有限公司,长沙,1,本科,
测试工程师,测试,11000.0,联合信用投资咨询有限公司,天津,1,本科,
测试工程师,测试,16000.0,中交智运有限公司,天津,3,本科,
测试工程师,测试,12500.0,广州乐摇摇信息科技有限公司,广州,3,本科,
测试工程师,测试,15000.0,杭州指令集智能科技有限公司,杭州,3,本科,
测试工程师,测试,8500.0,深圳市易博天下科技有限公司,深圳,1,大专,
测试工程师,测试,8000.0,深圳刺猬教育科技有限公司,深圳,0,本科,
测试工程师,测试,11500.0,中诚信征信有限公司,武汉,3,本科,
PTBU-测试工程师（音乐项目）,测试,15000.0,广州酷狗计算机科技有限公司,广州,3,本科,
测试工程师,测试,12500.0,广州里格信息科技有限公司,广州,5,本科,
测试工程师,测试,12000.0,北京世联互动网络有限公司成都分公司,成都,1,本科,
测试工程师 (MJ000075),测试,15000.0,杭州玳数科技有限公司,杭州,3,本科,
测试开发,测试,18500.0,杭州顶天网络有限公司,杭州,3,本科,
测试工程师,测试,19000.0,上海流利说信息技术有限公司,上海,0,本科,
测试工程师,测试,8000.0,四川文轩在线电子商务有限公司,成都,3,本科,
测试工程师,测试,13500.0,深圳马可孛罗科技有限公司,深圳,3,本科,
测试工程师,测试,7500.0,广州西洋汇信息技术有限公司,广州,1,本科,
